Vervoerswijze,Limburg,Nederland,SVG
Bestuurder2010,5522,5719,img/bestuurder.svg
Passagier2010,2583,2968,img/passagier.svg
Trein2010,802,869,img/trein.svg
BusTramMetro2010,267,362,img/bus_metro_tram.svg
BromSnorFiets2010,89,72,img/brom_snorfiets.svg
Fiets2010,713,796,img/fiets.svg
Lopen2010,356,362,img/lopen.svg
Overig2010,534,507,img/overig.svg
Bestuurder2011,5790,6052,img/bestuurder.svg
Passagier2011,2227,2666,img/passagier.svg
Trein2011,1069,1009,img/trein.svg
BusTramMetro2011,178,360,img/bus_metro_tram.svg
BromSnorFiets2011,89,72,img/brom_snorfiets.svg
Fiets2011,624,865,img/fiets.svg
Lopen2011,356,360,img/lopen.svg
Overig2011,534,648,img/overig.svg
Bestuurder2012,5253,5810,img/bestuurder.svg
Passagier2012,2048,2582,img/passagier.svg
Trein2012,712,932,img/trein.svg
BusTramMetro2012,267,359,img/bus_metro_tram.svg
BromSnorFiets2012,89,72,img/brom_snorfiets.svg
Fiets2012,712,861,img/fiets.svg
Lopen2012,356,359,img/lopen.svg
Overig2012,712,646,img/overig.svg
Bestuurder2013,5972,5936,img/bestuurder.svg
Passagier2013,2941,2002,img/passagier.svg
Trein2013,713,1073,img/trein.svg
BusTramMetro2013,178,358,img/bus_metro_tram.svg
BromSnorFiets2013,0,72,img/brom_snorfiets.svg
Fiets2013,624,858,img/fiets.svg
Lopen2013,357,358,img/lopen.svg
Overig2013,624,572,img/overig.svg
Bestuurder2014,5446,5918,img/bestuurder.svg
Passagier2014,2143,2710,img/passagier.svg
Trein2014,893,998,img/trein.svg
BusTramMetro2014,268,285,img/bus_metro_tram.svg
BromSnorFiets2014,89,71,img/brom_snorfiets.svg
Fiets2014,714,998,img/fiets.svg
Lopen2014,357,357,img/lopen.svg
Overig2014,625,642,img/overig.svg
Bestuurder2015,5546,5751,img/bestuurder.svg
Passagier2015,2147,2485,img/passagier.svg
Trein2015,984,923,img/trein.svg
BusTramMetro2015,179,355,img/bus_metro_tram.svg
BromSnorFiets2015,89,71,img/brom_snorfiets.svg
Fiets2015,626,923,img/fiets.svg
Lopen2015,358,284,img/lopen.svg
Overig2015,626,568,img/overig.svg
Bestuurder2016,5465,5725,img/bestuurder.svg
Passagier2016,1971,2544,img/passagier.svg
Trein2016,1075,989,img/trein.svg
BusTramMetro2016,269,353,img/bus_metro_tram.svg
BromSnorFiets2016,90,71,img/brom_snorfiets.svg
Fiets2016,627,848,img/fiets.svg
Lopen2016,358,353,img/lopen.svg
Overig2016,448,636,img/overig.svg
